algorithm,model,round,rmse,mae,r2
FedAvg,Dual,20,0.3994138341538488,0.3503285949175722,-42004.97014587667
FedAvg,Dual,21,0.3989357049493053,0.3500220747582732,-42470.63760210466
FedAvg,Dual,22,0.3983803460270135,0.3496605851581101,-42938.63475832495
FedAvg,Dual,23,0.3977139926416805,0.3491439343232053,-43215.6291497135
FedAvg,Dual,24,0.3969980301525999,0.348584887484884,-43431.27635886422
FedAvg,Dual,25,0.396239778278571,0.3480046130913213,-43635.6781942924
FedAvg,DeepFM,1,6.672084380757481,3.11415296918688,-193414911.9179132
FedAvg,DeepFM,2,5.683512684789758,2.6962119581829267,-137403201.62421206
FedAvg,DeepFM,3,4.6785962227999365,2.269069682210945,-90155902.53740153
FedAvg,DeepFM,4,3.6755638800862,1.832207577509285,-52794755.01592964
FedAvg,DeepFM,5,2.7009363148941383,1.4056456921284983,-26361592.348582894
FedAvg,DeepFM,6,1.767117543687186,0.9835486569178334,-9464143.040945506
FedAvg,DeepFM,7,0.931430658932986,0.6017045496532494,-1513838.898999967
FedAvg,DeepFM,8,0.4653105576007494,0.3618582230984431,-49104.59795780719
FedAvg,DeepFM,9,0.4409195736988718,0.3537798970937729,-50054.068876882426
FedAvg,DeepFM,10,0.3778461582890952,0.3071678898613147,-21247.695717357376
FedAvg,DeepFM,11,0.3641149677161883,0.2959145170575915,-58468.215384930845
FedAvg,DeepFM,12,0.3294374976343557,0.2741754281028503,-24330.22875009396
FedAvg,DeepFM,13,0.3158783681557901,0.2610068154670232,-19907.51658447765
FedAvg,DeepFM,14,0.3276258516197442,0.2714856570236293,-69266.1226105824
FedAvg,DeepFM,15,0.312842851246849,0.2647372761803477,-36426.36989003368
FedAvg,DeepFM,16,0.3111168005901895,0.2599579210021583,-28663.106840208253
FedAvg,DeepFM,17,0.3070915158879182,0.2589768524460089,-58562.94371677241
FedAvg,DeepFM,18,0.3297159472931554,0.2674462712109612,-106244.34427594216
FedAvg,DeepFM,19,0.3055635942510966,0.2524201026438409,-77702.72684291209
FedAvg,DeepFM,20,0.3222812508645998,0.2630751139250287,-92417.3274091526
FedAvg,DeepFM,21,0.2612106069607214,0.2244558536000746,-29159.887800134547
FedAvg,DeepFM,22,0.2942612189637614,0.2453682609884517,-74308.60138887429
FedAvg,DeepFM,23,0.2879690833500301,0.2406656572395552,-65271.23605373916
FedAvg,DeepFM,24,0.2626536748691361,0.2287009539367444,-30581.91328885727
FedAvg,DeepFM,25,0.2874607478878689,0.2373956293129543,-80999.5591209358
FedAvg,AutoInt,1,0.2352318130797334,0.2064023630952164,-14674.243079899485
FedAvg,AutoInt,2,0.2533582470861801,0.2324222174320887,-9886.061328792404
FedAvg,AutoInt,3,0.2568809676880959,0.231600896951289,-22809.14056673871
FedAvg,AutoInt,4,0.2538763237279356,0.2330433575073109,-9580.746575399107
FedAvg,AutoInt,5,0.2590701881910552,0.2370636185568958,-18128.49399714981
FedAvg,AutoInt,6,0.2576635284090576,0.2345516953375092,-14201.509017595718
FedAvg,AutoInt,7,0.2625167765236232,0.239874843344328,-20571.62181078403
FedAvg,AutoInt,8,0.2573852816875956,0.235793600444844,-16869.55797383488
FedAvg,AutoInt,9,0.2572014327408649,0.2350262341945578,-20470.00272525593
FedAvg,AutoInt,10,0.2639000491935953,0.2412868767112546,-18510.10143139744
FedAvg,AutoInt,11,0.2570874394344147,0.2366171296888893,-15268.832949205946
FedAvg,AutoInt,12,0.2653499534013054,0.2418193671727955,-33099.02792467845
FedAvg,AutoInt,13,0.2635607104401193,0.2434643613590297,-12987.72803300378
FedAvg,AutoInt,14,0.2673136557666623,0.2448473802664577,-37674.977121190575
FedAvg,AutoInt,15,0.2588298239722673,0.2386281546761784,-13585.534417908304
FedAvg,AutoInt,16,0.2697516047733984,0.2457036838878227,-36848.34843223753
FedAvg,AutoInt,17,0.2601505212227217,0.2391665672101015,-13441.205349863518
FedAvg,AutoInt,18,0.263326975037371,0.2390668411036995,-27619.70416486536
FedAvg,AutoInt,19,0.257237104089437,0.236187048478998,-20608.18543069434
FedAvg,AutoInt,20,0.2533687462238004,0.2311336712122801,-19447.6396596394
FedAvg,AutoInt,21,0.262209624627743,0.2398442867848701,-27577.40971284005
FedAvg,AutoInt,22,0.2511649212535735,0.2305986665333302,-14630.70930825386
FedAvg,AutoInt,23,0.2558076069437641,0.2327836440165767,-20060.51502810882
FedAvg,AutoInt,24,0.2563189188065307,0.2344627518514547,-23981.25943142584
FedAvg,AutoInt,25,0.2708799382636511,0.2478997633384904,-24797.823338369493
FedAvg,TabNet,1,0.402659052888578,0.3311299317907574,-9821.571320354416
FedAvg,TabNet,2,0.3200833112430812,0.2619008033263034,-9134.625760832654
FedAvg,TabNet,3,0.2862026846686376,0.2346038181197245,-8075.522606348531
FedAvg,TabNet,4,0.2692700476957193,0.2234484716752292,-8699.953374227447
FedAvg,TabNet,5,0.2601436954460392,0.2189792417683794,-9856.718251074137
FedAvg,TabNet,6,0.254200361107455,0.2161145800813011,-11033.569142934935
FedAvg,TabNet,7,0.2500349841333519,0.2137243895413376,-12086.769977146796
FedAvg,TabNet,8,0.2472537056894012,0.2121732172495661,-13103.49182627197
FedAvg,TabNet,9,0.2454382853392002,0.211527014383637,-14102.292819433347
FedAvg,TabNet,10,0.2442163173534012,0.2114531259545123,-15023.62557798865
FedAvg,TabNet,11,0.24347956489411,0.2116827229938105,-15852.6763391478
FedAvg,TabNet,12,0.2429601165340207,0.2119810327704216,-16590.328618026993
FedAvg,TabNet,13,0.2426657102964058,0.2124455115366694,-17208.83312145352
FedAvg,TabNet,14,0.2426047038341399,0.2130379955986472,-17828.966052593372
FedAvg,TabNet,15,0.2426637941403799,0.2137185589971777,-18331.895104463994
FedAvg,TabNet,16,0.2428397672050197,0.2144213264876803,-18827.55698787307
FedAvg,TabNet,17,0.2429814360745368,0.21508594491046,-19215.48312658333
FedAvg,TabNet,18,0.2431849744416842,0.2157386782299236,-19530.50205609501
FedAvg,TabNet,19,0.2432413928939443,0.2162383920488542,-19746.712831643847
FedAvg,TabNet,20,0.2434046085587354,0.2168255713367294,-20002.0458084238
FedAvg,TabNet,21,0.2435270971768638,0.217302236123328,-20179.49863226929
FedAvg,TabNet,22,0.2435274211365557,0.2176304487986179,-20273.025048238324
FedAvg,TabNet,23,0.2435371629985497,0.217907145043249,-20394.512666997256
FedAvg,TabNet,24,0.2435319164982436,0.2181253332140575,-20506.39053883284
FedAvg,TabNet,25,0.2435518708992922,0.2183447901179166,-20630.249447936123
FedAvg,MSARv3,1,0.2477087487037669,0.2217427875800794,-29571.647752629437
FedAvg,MSARv3,2,0.2327815449537018,0.2044403232594785,-15235.861089295788
FedAvg,MSARv3,3,0.2218132768903202,0.1987205632227376,-16002.136642682322
FedAvg,MSARv3,4,0.226818255929293,0.200662004874335,-20272.529060228848
FedAvg,MSARv3,5,0.2223206685470524,0.2002899461345639,-15219.863949730445
FedAvg,MSARv3,6,0.2256458452740668,0.2025100749071118,-18040.145380767663
FedAvg,MSARv3,7,0.2270039586820675,0.2037304980002723,-19154.568876494424
FedAvg,MSARv3,8,0.2276803113340996,0.2054717778269142,-18304.56969794573
FedAvg,MSARv3,9,0.2284303196343013,0.2059206523145229,-18644.961300385647
FedAvg,MSARv3,10,0.2287279515444418,0.2064841987011931,-19250.86351954288
FedAvg,MSARv3,11,0.2307577814768326,0.2079010836793165,-21290.93857742571
FedAvg,MSARv3,12,0.2306434218786862,0.2090044299726536,-19230.125837344487
FedAvg,MSARv3,13,0.2317389785994158,0.2089972260337722,-21408.333770606976
FedAvg,MSARv3,14,0.2323553179799579,0.2101350590089084,-20452.025957377387
FedAvg,MSARv3,15,0.2327580360833294,0.2103231465984103,-20147.79932118803
FedAvg,MSARv3,16,0.2333765254126952,0.2105458548492203,-21877.72485195187
FedAvg,MSARv3,17,0.2330031017144471,0.2102096884107128,-20939.482576800983
FedAvg,MSARv3,18,0.2312274059407617,0.2088229179329947,-20238.019443910864
FedAvg,MSARv3,19,0.2337909954457409,0.2111036161546757,-21330.50393933697
FedAvg,MSARv3,20,0.2334338776064004,0.2110392331081869,-20844.004553249302
FedAvg,MSARv3,21,0.2336714068797415,0.21119138293348,-22044.533896727804
FedAvg,MSARv3,22,0.234902103414637,0.2115384478036883,-22801.69743150232
FedAvg,MSARv3,23,0.2344678309840869,0.2112848612042847,-22658.26595565849
FedAvg,MSARv3,24,0.2346835370770746,0.2115561680406698,-22040.252214766973
FedAvg,MSARv3,25,0.2360450235508293,0.2132788567897096,-23773.51785457658
FedProx,Linear,1,0.908167620285088,0.7282446637513977,-123838.4836705347
FedProx,Linear,2,0.8938365469869232,0.7160798776338306,-115893.02717440158
FedProx,Linear,3,0.879830943385502,0.704305708513109,-108474.88919323483
FedProx,Linear,4,0.8660933684470485,0.6927825621016624,-101542.76491806754
FedProx,Linear,5,0.8526645464925655,0.6815363480357588,-95088.8326852728
FedProx,Linear,6,0.8395185048451979,0.6705844743285322,-89086.5108031422
FedProx,Linear,7,0.8266405466234029,0.6598120470562383,-83516.34499471761
FedProx,Linear,8,0.8139854766493997,0.6492239055084638,-78324.99689812149
FedProx,Linear,9,0.8015791602839997,0.6388622531258159,-73507.61663515329
FedProx,Linear,10,0.7893434504697812,0.6286550946730093,-69014.54826191398
FedProx,Linear,11,0.7772588526716968,0.6186565949543917,-64814.13020171851
FedProx,Linear,12,0.7653243535651117,0.6088808978169581,-60892.481316752506
FedProx,Linear,13,0.7535441215619576,0.5994031727837762,-57230.49885638862
FedProx,Linear,14,0.7419146739722113,0.5900406207895865,-53809.60758356721
FedProx,Linear,15,0.730381883271723,0.580800007904351,-50628.36798013241
FedProx,Linear,16,0.7189881672256755,0.5716466370492074,-47689.81012870641
FedProx,Linear,17,0.7076897739042322,0.5625569123794408,-44943.40847094491
FedProx,Linear,18,0.6965113577291554,0.5535463287981197,-42378.16890462463
FedProx,Linear,19,0.6854467263684012,0.5446255843962015,-39983.50834952088
FedProx,Linear,20,0.6742332035248598,0.5355977608260873,-37624.95680148321
FedProx,Linear,21,0.6631282303892787,0.5266448867970485,-35440.6986250383
FedProx,Linear,22,0.6521696436599667,0.5178074155310546,-33416.06012807621
FedProx,Linear,23,0.6413244186688967,0.5090767427990851,-31569.61515276461
FedProx,Linear,24,0.6306609290378248,0.50049111461807,-29861.11033052468
FedProx,Linear,25,0.6200209521481816,0.4919149347160319,-28289.49961922751
FedProx,MLP,1,0.4063290522723067,0.3379488951135394,-107156.48108497444
FedProx,MLP,2,0.4191664234998658,0.3529612566810919,-143955.13027357092
FedProx,MLP,3,0.4214849922365493,0.3570823962742918,-154225.35210977498
FedProx,MLP,4,0.4201862256427139,0.357952763776578,-155245.2450960843
FedProx,MLP,5,0.4183771559403631,0.3579310317816759,-153210.34371322405
FedProx,MLP,6,0.4169159485901728,0.357938647610651,-150489.49458533223
FedProx,MLP,7,0.4157149755271167,0.3580926092888223,-147665.61723282552
FedProx,MLP,8,0.4145666892316528,0.3582688428081821,-144654.63400712205
FedProx,MLP,9,0.4135809993993182,0.3583788746323024,-141595.1135176347
FedProx,MLP,10,0.4126847949574114,0.3584495080481095,-138559.2574253979
